Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
3009.952910958904,0.0001349559762306451,112.4608973652581,0.0001261881965891218,52.28809980619845,0.0002606148675293289,162.235326356331
3076.840753424658,0.0001020932579600343,127.0305584187422,0.0001509599419211012,49.29275123499617,0.001496115512913274,92.09231796892233
3143.728595890411,0.0001413427505815835,114.6204670319446,8.886537756638169e-05,86.39715429191608,0.001675183682892696,136.3638909634377
3210.616438356165,0.0001475753991845454,113.5310365609266,7.371069716361884e-05,46.17714765283225,0.000215586821026701,155.5404853579525
3277.504280821918,0.0001051491719451012,110.486433561632,9.272239399381659e-05,60.10198706361651,0.001063760909811508,142.5549186339944
3344.392123287671,0.0001424736729879244,117.9888990965345,7.663517787178929e-05,66.6793372178267,0.001305516192836836,177.2676554422291
3411.279965753425,0.0001214623155931347,124.5747878541825,9.743604486844905e-05,80.34720021369193,0.000192984876386679,36.22497422461203
3478.167808219178,0.0001198667498163995,113.5952672510111,0.0001210012055971389,72.23855391375362,0.0009224678408775483,167.5800723476501
3545.055650684932,0.0001646030581858697,97.36096004796597,4.476867814814448e-05,85.01296619444317,0.001788246942951442,15.65368336907894
3611.943493150685,0.0002251747233108759,129.818918524333,0.0001217453347459845,63.62364485636895,0.0002022336764454798,59.55926612843213
3678.831335616438,0.00021292325762142,109.9671050789357,6.268167915008341e-05,63.48625823384293,0.0007971147200206304,177.538221548513
3745.719178082192,0.0001626897776459872,116.4738439193382,0.0001130313962792442,55.3762838869232,0.001637364673160137,38.5385560367229
3812.607020547945,0.0001757886252552876,105.6626779101197,9.352191185297273e-05,71.16342650305808,0.0004027612604580155,130.5472580847656
3879.494863013699,0.0001317237072656128,119.7669445093847,0.0001087237125899598,70.67444511814432,0.0009613544433922542,7.068114390215518
3946.382705479452,0.0002282510329672335,110.9098542193198,3.730621790778825e-05,36.4698405263433,0.001466362449982394,62.31378837352168
4013.270547945205,0.0002379722281083259,120.6460014318342,9.975696548590459e-05,35.40600930887118,0.0001090630574244604,117.6933596332619
4080.158390410959,0.0001762526941093766,115.4489685259804,0.0001077960140638988,35.45356185508189,0.001016859080519779,59.94982839099685
4147.046232876713,0.0002161130859788633,93.1856573137041,9.43946274324093e-05,56.72883725070614,0.001461929374148081,98.1854737417061
4213.934075342466,0.0002408615504197207,124.8469256332865,0.0001589654164142458,47.8430816780437,0.0007088502807210084,77.41756583772798
